Coordinates ; Peaks X-coordinates ;  Peaks Y-coordinates                                                                                                                                                                                                                                                                                                                                                     
{27,11};[1985];[65.2426035502959]                                                                                                                                                                                                                                                                                                                                                                            
{28,11};[1604,2350];[66.6508875739645,65.9585798816568]                                                                                                                                                                                                                                                                                                                                                      
{29,11};[14,145,1215,1363,1526,1604,1761,1780,1863,2224];[94.0769230769231,95.8757396449704,93.0236686390533,91.9408284023669,94.1242603550296,96.1656804733728,93.8165680473373,92.8165680473373,93.2603550295858,91.4023668639053]                                                                                                                                                                         
{2,10};[16];[41.0414201183432]                                                                                                                                                                                                                                                                                                                                                                               
{4,10};[14];[25.9881656804734]                                                                                                                                                                                                                                                                                                                                                                               
{5,10};[2395];[17.8165680473373]                                                                                                                                                                                                                                                                                                                                                                             
{7,10};[125,874,2164];[42.2958579881657,42.9467455621302,44.5325443786982]                                                                                                                                                                                                                                                                                                                                   
{8,10};[273];[39.094674556213]                                                                                                                                                                                                                                                                                                                                                                               
{12,10};[210];[22.9526627218935]                                                                                                                                                                                                                                                                                                                                                                             
{14,10};[8];[26.4615384615385]                                                                                                                                                                                                                                                                                                                                                                               
{15,10};[2063,2103,2135,2240,2382];[43.2011834319527,43.792899408284,41.7159763313609,44.6153846153846,43.7278106508876]                                                                                                                                                                                                                                                                                     
{16,10};[11];[25.0118343195266]                                                                                                                                                                                                                                                                                                                                                                              
{17,10};[26];[42.7218934911243]                                                                                                                                                                                                                                                                                                                                                                              
{18,10};[9,1179,1696];[56.9289940828402,56.7278106508876,56.8816568047337]                                                                                                                                                                                                                                                                                                                                   
{19,10};[654];[48.8165680473373]                                                                                                                                                                                                                                                                                                                                                                             
{21,10};[1737];[72.189349112426]                                                                                                                                                                                                                                                                                                                                                                             
{22,10};[679,2388];[84.6863905325444,85.0295857988166]                                                                                                                                                                                                                                                                                                                                                       
{23,10};[405,2327];[48.9349112426035,49.9585798816568]                                                                                                                                                                                                                                                                                                                                                       
{24,10};[425,1021,1177,1384,1755,2240];[41.6213017751479,42.4260355029586,41.414201183432,42.301775147929,42.0710059171598,42.6449704142012]                                                                                                                                                                                                                                                                 
{25,10};[1301,1647];[31.7751479289941,32.2603550295858]                                                                                                                                                                                                                                                                                                                                                      
{26,10};[731,1291,1795,2035,2169,2234];[85.3668639053254,89.6390532544379,92.2781065088757,90.508875739645,86.2781065088757,90.1242603550296]                                                                                                                                                                                                                                                                
{27,10};[1279,1430,2000,2101,2167,2247,2360];[106.242603550296,108.917159763314,110.159763313609,110.775147928994,107.810650887574,108.668639053254,104.544378698225]                                                                                                                                                                                                                                        
{28,10};[465,1034,1632,2100,2291];[136.899408284024,136.745562130178,137.869822485207,134.473372781065,137.136094674556]                                                                                                                                                                                                                                                                                     
{29,10};[848,1504];[191.047337278107,188.674556213018]                                                                                                                                                                                                                                                                                                                                                       
{1,9};[160];[38.4038461538462]                                                                                                                                                                                                                                                                                                                                                                               
{3,9};[34];[27.9704142011834]                                                                                                                                                                                                                                                                                                                                                                                
{4,9};[313];[25.2958579881657]                                                                                                                                                                                                                                                                                                                                                                               
{6,9};[241,508,1368,1821,2164];[22.3609467455621,22.2426035502959,22.585798816568,21.5266272189349,22.2485207100592]                                                                                                                                                                                                                                                                                         
{10,9};[975];[29.3550295857988]                                                                                                                                                                                                                                                                                                                                                                              
{12,9};[224];[26.9585798816568]                                                                                                                                                                                                                                                                                                                                                                              
{13,9};[629];[21.9408284023669]                                                                                                                                                                                                                                                                                                                                                                              
{14,9};[493];[34.4378698224852]                                                                                                                                                                                                                                                                                                                                                                              
{15,9};[2026,2385];[45.0769230769231,44.508875739645]                                                                                                                                                                                                                                                                                                                                                        
{16,9};[630,1267];[60.603550295858,57.9822485207101]                                                                                                                                                                                                                                                                                                                                                         
{17,9};[2019];[64.3136094674556]                                                                                                                                                                                                                                                                                                                                                                             
{18,9};[1604,1957];[36.0118343195266,35.6923076923077]                                                                                                                                                                                                                                                                                                                                                       
{19,9};[1922];[25.7218934911243]                                                                                                                                                                                                                                                                                                                                                                             
{20,9};[57];[34.5384615384615]                                                                                                                                                                                                                                                                                                                                                                               
{21,9};[10];[52.207100591716]                                                                                                                                                                                                                                                                                                                                                                                
{22,9};[14,602,1359,1737];[65.3372781065089,61.7633136094675,62.0355029585799,64.0236686390533]                                                                                                                                                                                                                                                                                                              
{23,9};[14,144,1724];[70.508875739645,69.3786982248521,74.8639053254438]                                                                                                                                                                                                                                                                                                                                     
{24,9};[493];[35.2781065088757]                                                                                                                                                                                                                                                                                                                                                                              
{25,9};[14];[36.414201183432]                                                                                                                                                                                                                                                                                                                                                                                
{26,9};[156];[44.7514792899408]                                                                                                                                                                                                                                                                                                                                                                              
{27,9};[151,1283];[92.4674556213018,91.5207100591716]                                                                                                                                                                                                                                                                                                                                                        
{28,9};[14,144,1214,1604,1757,1885,2236];[156.289940828402,157.331360946746,153.721893491124,148.751479289941,150.467455621302,147.96449704142,149.763313609467]                                                                                                                                                                                                                                             
{29,9};[811,1216];[245.349112426036,244.14201183432]                                                                                                                                                                                                                                                                                                                                                         
{3,8};[231];[39.5443786982249]                                                                                                                                                                                                                                                                                                                                                                               
{5,8};[150,1362,2173];[24.1775147928994,22.9171597633136,21.9585798816568]                                                                                                                                                                                                                                                                                                                                   
{8,8};[72];[28.810650887574]                                                                                                                                                                                                                                                                                                                                                                                 
{9,8};[1228];[27.9349112426036]                                                                                                                                                                                                                                                                                                                                                                              
{10,8};[2382];[19.887573964497]                                                                                                                                                                                                                                                                                                                                                                              
{12,8};[655];[23.5739644970414]                                                                                                                                                                                                                                                                                                                                                                              
{13,8};[2321];[18.4556213017751]                                                                                                                                                                                                                                                                                                                                                                             
{14,8};[144,2057];[46.5029585798817,46.6804733727811]                                                                                                                                                                                                                                                                                                                                                        
{16,8};[631];[35.7573964497041]                                                                                                                                                                                                                                                                                                                                                                              
{17,8};[408,664,766,825,925,1462,2002,2204,2289];[44.3727810650888,42.4970414201183,45.9526627218935,43.9526627218935,42.6213017751479,45.4023668639053,44.6449704142012,43.5207100591716,43.2189349112426]                                                                                                                                                                                                  
{18,8};[834];[43.887573964497]                                                                                                                                                                                                                                                                                                                                                                               
{19,8};[967,1548,1816];[44.1656804733728,43.8757396449704,45.8165680473373]                                                                                                                                                                                                                                                                                                                                  
{20,8};[823,1516,2022];[42.4674556213018,40.4260355029586,41.7218934911243]                                                                                                                                                                                                                                                                                                                                  
{21,8};[2005];[34.4733727810651]                                                                                                                                                                                                                                                                                                                                                                             
{22,8};[1735];[35.2011834319527]                                                                                                                                                                                                                                                                                                                                                                             
{23,8};[14,1756,1869];[65.4615384615385,67.3372781065089,67.2426035502959]                                                                                                                                                                                                                                                                                                                                   
{24,8};[1853];[34.5680473372781]                                                                                                                                                                                                                                                                                                                                                                             
{25,8};[14,1991];[71.7751479289941,66.2544378698225]                                                                                                                                                                                                                                                                                                                                                         
{26,8};[1311,2003];[81.094674556213,81.6686390532544]                                                                                                                                                                                                                                                                                                                                                        
{27,8};[281,1583];[54.2603550295858,52.1538461538462]                                                                                                                                                                                                                                                                                                                                                        
{28,8};[134,847,1283,1881];[84.3550295857988,79.4852071005917,81.9526627218935,79.0710059171598]                                                                                                                                                                                                                                                                                                             
{29,8};[14,630,810,1327];[108.804733727811,107.189349112426,107.100591715976,104.644970414201]                                                                                                                                                                                                                                                                                                               
{1,7};[1105,1928];[43.3205128205128,45.6474358974359]                                                                                                                                                                                                                                                                                                                                                        
{2,7};[149];[27.491124260355]                                                                                                                                                                                                                                                                                                                                                                                
{4,7};[16];[25.4023668639053]                                                                                                                                                                                                                                                                                                                                                                                
{5,7};[313];[20.1420118343195]                                                                                                                                                                                                                                                                                                                                                                               
{7,7};[8];[22.8639053254438]                                                                                                                                                                                                                                                                                                                                                                                 
{9,7};[1544];[38.2721893491124]                                                                                                                                                                                                                                                                                                                                                                              
{10,7};[83];[29.3431952662722]                                                                                                                                                                                                                                                                                                                                                                               
{12,7};[187];[31.0769230769231]                                                                                                                                                                                                                                                                                                                                                                              
{13,7};[8,518,858,1863];[58.9171597633136,58.9230769230769,58.4082840236686,59.1479289940828]                                                                                                                                                                                                                                                                                                                
{14,7};[1157,1861,2228];[53.1420118343195,53.7573964497041,51.8698224852071]                                                                                                                                                                                                                                                                                                                                 
{15,7};[1888];[31.7218934911243]                                                                                                                                                                                                                                                                                                                                                                             
{16,7};[86,530,747];[45.9763313609467,46.3846153846154,44.9881656804734]                                                                                                                                                                                                                                                                                                                                     
{17,7};[1606];[32.6331360946746]                                                                                                                                                                                                                                                                                                                                                                             
{18,7};[1176,1594];[28.5621301775148,29.0414201183432]                                                                                                                                                                                                                                                                                                                                                       
{19,7};[1580,1909];[24.1597633136095,24.5798816568047]                                                                                                                                                                                                                                                                                                                                                       
{20,7};[1209,1562];[25.2189349112426,25.2307692307692]                                                                                                                                                                                                                                                                                                                                                       
{21,7};[2022];[40.9230769230769]                                                                                                                                                                                                                                                                                                                                                                             
{22,7};[159,1029,1543,1931];[40.810650887574,39.1479289940828,42.7218934911243,40.4852071005917]                                                                                                                                                                                                                                                                                                             
{23,7};[16,741,852,1523];[57.1952662721894,58.5680473372781,58.3609467455621,58.2603550295858]                                                                                                                                                                                                                                                                                                               
{24,7};[15,271,853,1519];[98.5680473372781,95.698224852071,96.7869822485207,98.4970414201184]                                                                                                                                                                                                                                                                                                                
{25,7};[1509,1997];[56.7337278106509,54.9644970414201]                                                                                                                                                                                                                                                                                                                                                       
{26,7};[144,998,1214,1368,1503,1581,1995,2225];[80.2781065088757,75.3076923076923,78.0887573964497,77.5798816568047,76.7988165680473,78.2485207100592,73.9230769230769,74.9526627218935]                                                                                                                                                                                                                     
{27,7};[144,595,1365,1613,1860,2234];[52.8994082840237,50.2248520710059,51.3609467455621,50.4201183431953,52.6094674556213,48.9881656804734]                                                                                                                                                                                                                                                                 
{28,7};[537,639,874];[32.1479289940828,31.301775147929,29.0710059171598]                                                                                                                                                                                                                                                                                                                                     
{29,7};[190,1467];[25.8047337278106,27.2366863905325]                                                                                                                                                                                                                                                                                                                                                        
{1,6};[800,2012];[59.2948717948718,59.6346153846154]                                                                                                                                                                                                                                                                                                                                                         
{2,6};[193];[30.5917159763314]                                                                                                                                                                                                                                                                                                                                                                               
{5,6};[400,2014];[26.5443786982249,30.1538461538462]                                                                                                                                                                                                                                                                                                                                                         
{8,6};[2384];[18.0295857988166]                                                                                                                                                                                                                                                                                                                                                                              
{9,6};[2368];[19.0118343195266]                                                                                                                                                                                                                                                                                                                                                                              
{10,6};[367,1705,2251];[33.5384615384615,35.1775147928994,31.8520710059172]                                                                                                                                                                                                                                                                                                                                  
{11,6};[76,1686];[38.4260355029586,40.6094674556213]                                                                                                                                                                                                                                                                                                                                                         
{12,6};[15,456,1675];[55.5739644970414,54.7810650887574,56.491124260355]                                                                                                                                                                                                                                                                                                                                     
{13,6};[552,1659];[36.887573964497,38.0177514792899]                                                                                                                                                                                                                                                                                                                                                         
{14,6};[1637];[36.2189349112426]                                                                                                                                                                                                                                                                                                                                                                             
{15,6};[1635];[19.9408284023669]                                                                                                                                                                                                                                                                                                                                                                             
{16,6};[104,602,760,1296,1613,1686,2165];[33.5680473372781,34.4792899408284,32.207100591716,31.5502958579882,32.0828402366864,31.4082840236686,32.0473372781065]                                                                                                                                                                                                                                             
{17,6};[113,1615];[29.1360946745562,28.0355029585799]                                                                                                                                                                                                                                                                                                                                                        
{18,6};[47,1206,1597,1868];[39.0473372781065,39,38.4497041420118,38.2662721893491]                                                                                                                                                                                                                                                                                                                           
{19,6};[290,1182,1870];[47.7278106508876,49.491124260355,48.5443786982249]                                                                                                                                                                                                                                                                                                                                   
{20,6};[214,1485];[42.2366863905325,41.5917159763314]                                                                                                                                                                                                                                                                                                                                                        
{21,6};[113,393,1021,1310,1969];[45.5680473372781,45.396449704142,45.6686390532544,44.6627218934911,45.6627218934911]                                                                                                                                                                                                                                                                                        
{22,6};[1109];[30.9526627218935]                                                                                                                                                                                                                                                                                                                                                                             
{23,6};[1780];[31.8816568047337]                                                                                                                                                                                                                                                                                                                                                                             
{24,6};[15,275,871,1407,1774];[65.8579881656805,64.5207100591716,63.8757396449704,64.3313609467456,63.2899408284024]                                                                                                                                                                                                                                                                                         
{25,6};[14,189,462,749,1312];[48.0118343195266,45.5739644970414,45.8757396449704,48.7751479289941,49.6745562130178]                                                                                                                                                                                                                                                                                          
{26,6};[509,1146];[31,34.0887573964497]                                                                                                                                                                                                                                                                                                                                                                      
{28,6};[128];[19.2426035502959]                                                                                                                                                                                                                                                                                                                                                                              
{29,6};[1719];[28.5798816568047]                                                                                                                                                                                                                                                                                                                                                                             
{3,5};[227,1844];[22.5739644970414,24.6627218934911]                                                                                                                                                                                                                                                                                                                                                         
{5,5};[1802];[22]                                                                                                                                                                                                                                                                                                                                                                                            
{6,5};[1793];[19.2721893491124]                                                                                                                                                                                                                                                                                                                                                                              
{8,5};[1736];[24.4556213017751]                                                                                                                                                                                                                                                                                                                                                                              
{9,5};[1717];[26.1775147928994]                                                                                                                                                                                                                                                                                                                                                                              
{10,5};[1711];[21.7041420118343]                                                                                                                                                                                                                                                                                                                                                                             
{11,5};[144,1359,1422,1611,1757,1887];[66.603550295858,64.0059171597633,64.4733727810651,66.8461538461538,68.0236686390533,66.0355029585799]                                                                                                                                                                                                                                                                 
{12,5};[2394];[29.3076923076923]                                                                                                                                                                                                                                                                                                                                                                             
{13,5};[87,571,1025,1218];[33.2189349112426,34.3727810650888,34.4437869822485,34.1183431952663]                                                                                                                                                                                                                                                                                                              
{14,5};[2385];[31.5443786982249]                                                                                                                                                                                                                                                                                                                                                                             
{16,5};[123,591,782,1336,1694,2163];[39.3550295857988,39.2248520710059,41.5798816568047,39.5917159763314,38.2721893491124,37.9644970414201]                                                                                                                                                                                                                                                                  
{17,5};[158,1191,1879];[30.6745562130178,30.7751479289941,30.9526627218935]                                                                                                                                                                                                                                                                                                                                  
{18,5};[1108,1191,1604,1816,2335];[40.4082840236686,43.9822485207101,36.6390532544379,40.6745562130178,37.2307692307692]                                                                                                                                                                                                                                                                                     
{19,5};[1112,1191,1933,2388];[40.4615384615385,41.4082840236686,41.3846153846154,38.1360946745562]                                                                                                                                                                                                                                                                                                           
{21,5};[26,674,992,1817];[35.5502958579882,38.8639053254438,39.4437869822485,34.9822485207101]                                                                                                                                                                                                                                                                                                               
{22,5};[629];[36.8579881656805]                                                                                                                                                                                                                                                                                                                                                                              
{23,5};[627];[29.6331360946746]                                                                                                                                                                                                                                                                                                                                                                              
{24,5};[2227];[39.9230769230769]                                                                                                                                                                                                                                                                                                                                                                             
{25,5};[1118];[47.7396449704142]                                                                                                                                                                                                                                                                                                                                                                             
{26,5};[465];[24.3550295857988]                                                                                                                                                                                                                                                                                                                                                                              
{3,4};[6,1319,1852];[20.9289940828402,20.905325443787,21.2840236686391]                                                                                                                                                                                                                                                                                                                                      
{4,4};[457];[18.5266272189349]                                                                                                                                                                                                                                                                                                                                                                               
{11,4};[122,1975];[44.2366863905325,44.6390532544379]                                                                                                                                                                                                                                                                                                                                                        
{13,4};[100,1255];[37.1656804733728,37.3372781065089]                                                                                                                                                                                                                                                                                                                                                        
{14,4};[2394];[23.8224852071006]                                                                                                                                                                                                                                                                                                                                                                             
{15,4};[122,1699];[46.9644970414201,46.2662721893491]                                                                                                                                                                                                                                                                                                                                                        
{16,4};[1170,1908];[43.3431952662722,43.2662721893491]                                                                                                                                                                                                                                                                                                                                                       
{17,4};[1189,1888];[35.2485207100592,34.7751479289941]                                                                                                                                                                                                                                                                                                                                                       
{21,4};[58];[24.7692307692308]                                                                                                                                                                                                                                                                                                                                                                               
{22,4};[671];[31.1538461538462]                                                                                                                                                                                                                                                                                                                                                                              
{23,4};[206];[22]                                                                                                                                                                                                                                                                                                                                                                                            
{24,4};[400];[24.4260355029586]                                                                                                                                                                                                                                                                                                                                                                              
{25,4};[24];[31.5739644970414]                                                                                                                                                                                                                                                                                                                                                                               
{26,4};[295];[22.6508875739645]                                                                                                                                                                                                                                                                                                                                                                              
{1,3};[2389];[32.3205128205128]                                                                                                                                                                                                                                                                                                                                                                              
{10,3};[24];[21.8994082840237]                                                                                                                                                                                                                                                                                                                                                                               
{11,3};[1807];[25.3136094674556]                                                                                                                                                                                                                                                                                                                                                                             
{13,3};[123];[27.0591715976331]                                                                                                                                                                                                                                                                                                                                                                              
{15,3};[608,1277,1702];[47.2248520710059,46.3313609467456,45.9230769230769]                                                                                                                                                                                                                                                                                                                                  
{17,3};[1203];[20.9822485207101]                                                                                                                                                                                                                                                                                                                                                                             
{21,3};[136];[19.3786982248521]                                                                                                                                                                                                                                                                                                                                                                              
{24,3};[7];[21.4319526627219]                                                                                                                                                                                                                                                                                                                                                                                
{25,3};[85];[21.7869822485207]                                                                                                                                                                                                                                                                                                                                                                               
{26,3};[8];[28.7159763313609]                                                                                                                                                                                                                                                                                                                                                                                
{27,3};[36];[18.396449704142]                                                                                                                                                                                                                                                                                                                                                                                
{29,3};[120];[20.4260355029586]                                                                                                                                                                                                                                                                                                                                                                              
{4,2};[6];[37.7041420118343]                                                                                                                                                                                                                                                                                                                                                                                 
{5,2};[10];[33.4970414201183]                                                                                                                                                                                                                                                                                                                                                                                
{10,2};[7];[20.0710059171598]                                                                                                                                                                                                                                                                                                                                                                                
{12,2};[1707];[22.905325443787]                                                                                                                                                                                                                                                                                                                                                                              
{13,2};[281,1863];[33.8934911242604,34.8757396449704]                                                                                                                                                                                                                                                                                                                                                        
{14,2};[1612];[25.1242603550296]                                                                                                                                                                                                                                                                                                                                                                             
{15,2};[16,599,1441];[54.1065088757396,53.4497041420118,52.9230769230769]                                                                                                                                                                                                                                                                                                                                    
{25,2};[814];[24.9881656804734]                                                                                                                                                                                                                                                                                                                                                                              
{26,2};[658];[29.4023668639053]                                                                                                                                                                                                                                                                                                                                                                              
{27,2};[31];[18.1420118343195]                                                                                                                                                                                                                                                                                                                                                                               
{4,1};[16,1618];[26.6804733727811,25.9585798816568]                                                                                                                                                                                                                                                                                                                                                          
{5,1};[10];[21.9289940828402]                                                                                                                                                                                                                                                                                                                                                                                
{24,1};[2313];[17.6686390532544]                                                                                                                                                                                                                                                                                                                                                                             
